"","Signature","Microbe","value"
"48","immune_NK","Delftia lacustris",-0.0434272300469484
"49","immune_CD4Tconv","Delftia lacustris",-0.113044936284373
"50","immune_Treg","Delftia lacustris",-0.0325285043594903
"51","immune_TMKI67","Delftia lacustris",-0.254963112005366
"52","immune_CD8Tex","Delftia lacustris",-0.0768276324614353
"53","immune_CD8T","Delftia lacustris",-0.0824614352783367
"54","immune_Plasma","Delftia lacustris",0.0396042924211938
"55","immune_B","Delftia lacustris",0.029644533869886
"56","minor_Monocyte","Delftia lacustris",-0.0385311871227364
"57","minor_M2","Delftia lacustris",0.0759557344064386
"58","minor_M1","Delftia lacustris",-0.00446009389671361
"59","minor_cDC2","Delftia lacustris",-0.0773977196512408
"60","minor_cDC1","Delftia lacustris",-0.125016767270288
"61","minor_Th17","Delftia lacustris",-0.136887994634474
"62","minor_Th2","Delftia lacustris",-0.173004694835681
"63","minor_Th1","Delftia lacustris",-0.209691482226693
"64","minor_CD4Teff","Delftia lacustris",-0.0705902079141516
"65","minor_CD4Tn","Delftia lacustris",-0.0737089201877934
"66","minor_MAIT","Delftia lacustris",-0.0308853118712274
"67","minor_CD8Teff","Delftia lacustris",-0.108417169684775
"68","minor_CD8Tem","Delftia lacustris",-0.0983903420523139
"69","minor_CD8Tcm","Delftia lacustris",-0.0607645875251509
"70","minor_CD8Tn","Delftia lacustris",0.188329979879276
"71","stromal_Others","Delftia lacustris",-0.143058350100604
"72","stromal_Myofibroblasts","Delftia lacustris",-0.00311871227364185
"73","stromal_Fibroblasts","Delftia lacustris",0.123675385647217
"74","stromal_Endothelial","Delftia lacustris",0.136452045606975
"75","malignant","Enterobacter hormaechei",-0.312910798122066
"76","others","Enterobacter hormaechei",-0.071663313212609
"77","stromal","Enterobacter hormaechei",0.139168343393695
"78","immune","Enterobacter hormaechei",-0.133869885982562
"79","immune_ILC","Enterobacter hormaechei",-0.0380952380952381
"80","immune_Mono.Macro","Enterobacter hormaechei",-0.0728370221327968
"81","immune_pDC","Enterobacter hormaechei",0.0315560026827632
"82","immune_DC","Enterobacter hormaechei",-0.0933936955063716
"83","immune_Neutrophils","Enterobacter hormaechei",-0.0308182427900738
"84","immune_Mast","Enterobacter hormaechei",0.0504359490274983
"85","immune_NK","Enterobacter hormaechei",-0.0888665325285044
"86","immune_CD4Tconv","Enterobacter hormaechei",-0.185747820254863
"87","immune_Treg","Enterobacter hormaechei",-0.0345405767940979
"88","immune_TMKI67","Enterobacter hormaechei",-0.353655264922871
"89","immune_CD8Tex","Enterobacter hormaechei",-0.0985915492957746
"90","immune_CD8T","Enterobacter hormaechei",-0.0471830985915493
"91","immune_Plasma","Enterobacter hormaechei",-0.227934272300469
"92","immune_B","Enterobacter hormaechei",-0.234808853118712
"93","minor_Monocyte","Enterobacter hormaechei",-0.13336686787391
"94","minor_M2","Enterobacter hormaechei",-0.053588195841717
"95","minor_M1","Enterobacter hormaechei",-0.0867538564721663
"96","minor_cDC2","Enterobacter hormaechei",-0.0699530516431925
"97","minor_cDC1","Enterobacter hormaechei",-0.391649899396378
"98","minor_Th17","Enterobacter hormaechei",0.0484238765928907
"99","minor_Th2","Enterobacter hormaechei",-0.308283031522468
"100","minor_Th1","Enterobacter hormaechei",-0.287089201877934
"101","minor_CD4Teff","Enterobacter hormaechei",0.0139839034205231
"102","minor_CD4Tn","Enterobacter hormaechei",-0.143360160965795
"103","minor_MAIT","Enterobacter hormaechei",0.210362173038229
"104","minor_CD8Teff","Enterobacter hormaechei",-0.00952380952380952
"105","minor_CD8Tem","Enterobacter hormaechei",-0.0550972501676727
"106","minor_CD8Tcm","Enterobacter hormaechei",-0.0496311200536553
"107","minor_CD8Tn","Enterobacter hormaechei",-0.0930583501006036
"108","stromal_Others","Enterobacter hormaechei",-0.188933601609658
"109","stromal_Myofibroblasts","Enterobacter hormaechei",0.213715627095909
"110","stromal_Fibroblasts","Enterobacter hormaechei",0.205935613682093
"111","stromal_Endothelial","Enterobacter hormaechei",0.0198524480214621
"112","malignant","Fusobacterium nucleatum",0.0932930918846412
"113","others","Fusobacterium nucleatum",0.162206572769953
"114","stromal","Fusobacterium nucleatum",0.087290409121395
"115","immune","Fusobacterium nucleatum",0.296109993293092
"116","immune_ILC","Fusobacterium nucleatum",0.197585513078471
"117","immune_Mono.Macro","Fusobacterium nucleatum",0.257645875251509
"118","immune_pDC","Fusobacterium nucleatum",0.257780013413816
"119","immune_DC","Fusobacterium nucleatum",0.248692152917505
"120","immune_Neutrophils","Fusobacterium nucleatum",0.216968477531858
"121","immune_Mast","Fusobacterium nucleatum",0.15690811535882
"122","immune_NK","Fusobacterium nucleatum",0.311099932930919
"123","immune_CD4Tconv","Fusobacterium nucleatum",0.271696847753186
"124","immune_Treg","Fusobacterium nucleatum",0.294835680751174
"125","immune_TMKI67","Fusobacterium nucleatum",0.0619382964453387
"126","immune_CD8Tex","Fusobacterium nucleatum",0.283769282360832
"127","immune_CD8T","Fusobacterium nucleatum",0.239604292421194
"128","immune_Plasma","Fusobacterium nucleatum",0.374111334674715
"129","immune_B","Fusobacterium nucleatum",0.37897384305835
"130","minor_Monocyte","Fusobacterium nucleatum",0.229510395707579
"131","minor_M2","Fusobacterium nucleatum",0.122669349429913
"132","minor_M1","Fusobacterium nucleatum",0.269852448021462
"133","minor_cDC2","Fusobacterium nucleatum",0.24047619047619
"134","minor_cDC1","Fusobacterium nucleatum",0.07981220657277
"135","minor_Th17","Fusobacterium nucleatum",0.23859825620389
"136","minor_Th2","Fusobacterium nucleatum",0.0670355466130114
"137","minor_Th1","Fusobacterium nucleatum",0.217069081153588
"138","minor_CD4Teff","Fusobacterium nucleatum",0.326458752515091
"139","minor_CD4Tn","Fusobacterium nucleatum",0.244466800804829
"140","minor_MAIT","Fusobacterium nucleatum",0.101106639839034
"141","minor_CD8Teff","Fusobacterium nucleatum",0.271093226022804
"142","minor_CD8Tem","Fusobacterium nucleatum",0.163212608987257
"143","minor_CD8Tcm","Fusobacterium nucleatum",0.257377598926895
"144","minor_CD8Tn","Fusobacterium nucleatum",0.0468812877263581
"145","stromal_Others","Fusobacterium nucleatum",0.0170355466130114
"146","stromal_Myofibroblasts","Fusobacterium nucleatum",-0.00536552649228706
"147","stromal_Fibroblasts","Fusobacterium nucleatum",0.0327632461435278
"148","stromal_Endothelial","Fusobacterium nucleatum",0.181019450033535
"149","malignant","Mannheimia sp. USDA-ARS-USMARC-1261",-0.278470824949698
"150","others","Mannheimia sp. USDA-ARS-USMARC-1261",-0.281220657276995
"151","stromal","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0981220657276995
"152","immune","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0329979879275654
"153","immune_ILC","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0183433936955064
"154","immune_Mono.Macro","Mannheimia sp. USDA-ARS-USMARC-1261",-0.0355801475519785
"155","immune_pDC","Mannheimia sp. USDA-ARS-USMARC-1261",0.0705566733735748
