"sample","exo.ra","cw.ra","count","dif","abs.dif","ffpe.status","site.info"
"SL362828",2.26895566150791e-05,0,0,-2.26895566150791e-05,2.26895566150791e-05,FALSE,"OSU"
"SL362879",5.12881188789862e-07,0,0,-5.12881188789862e-07,5.12881188789862e-07,FALSE,"OSU"
"SL362826",2.59902832795842e-07,0,0,-2.59902832795842e-07,2.59902832795842e-07,FALSE,"OSU"
"SL362853",5.38267711587469e-08,0,0,-5.38267711587469e-08,5.38267711587469e-08,FALSE,"OSU"
"SL365922",4.26542620175818e-08,0,0,-4.26542620175818e-08,4.26542620175818e-08,FALSE,"OSU"
"SL251102",3.85885907910596e-08,0,0,-3.85885907910596e-08,3.85885907910596e-08,TRUE,"Site 8"
"SL399361",2.71197077121005e-08,0,0,-2.71197077121005e-08,2.71197077121005e-08,FALSE,"Site 2"
"SL362884",1.55371529850927e-08,0,0,-1.55371529850927e-08,1.55371529850927e-08,FALSE,"OSU"
"SL337466",5.97554998373581e-09,0,0,-5.97554998373581e-09,5.97554998373581e-09,TRUE,"Site 8"
"SL356005",3.15052714832601e-09,0,0,-3.15052714832601e-09,3.15052714832601e-09,TRUE,"Site 7"
"SL399360",3.01922159172649e-09,0,0,-3.01922159172649e-09,3.01922159172649e-09,FALSE,"Site 2"
"SL426764",2.85245025273779e-09,0,0,-2.85245025273779e-09,2.85245025273779e-09,TRUE,"Site 5"
"SL359722",1.8657839619235e-09,0,0,-1.8657839619235e-09,1.8657839619235e-09,TRUE,"Site 8"
"SL271795",1.86577192265179e-09,0,0,-1.86577192265179e-09,1.86577192265179e-09,TRUE,"Site 8"
"SL356038",1.86577125462686e-09,0,0,-1.86577125462686e-09,1.86577125462686e-09,TRUE,"Site 8"
"SL372373",1.8657697753188e-09,0,0,-1.8657697753188e-09,1.8657697753188e-09,TRUE,"Site 8"
"SL257956",1.8657683485815e-09,0,0,-1.8657683485815e-09,1.8657683485815e-09,TRUE,"Site 8"
"SL362856",1.57644113660285e-09,0,0,-1.57644113660285e-09,1.57644113660285e-09,FALSE,"OSU"
"SL362827",1.57644100834756e-09,0,0,-1.57644100834756e-09,1.57644100834756e-09,FALSE,"OSU"
"SL387149",1.57644099704104e-09,0,0,-1.57644099704104e-09,1.57644099704104e-09,FALSE,"OSU"
"SL362854",1.57644092188228e-09,0,0,-1.57644092188228e-09,1.57644092188228e-09,FALSE,"OSU"
"SL365876",1.57644081087818e-09,0,0,-1.57644081087818e-09,1.57644081087818e-09,FALSE,"OSU"
"SL362830",1.57644080787362e-09,0,0,-1.57644080787362e-09,1.57644080787362e-09,FALSE,"OSU"
"SL362878",1.57644079924578e-09,0,0,-1.57644079924578e-09,1.57644079924578e-09,FALSE,"OSU"
"SL362860",1.57644076550405e-09,0,0,-1.57644076550405e-09,1.57644076550405e-09,FALSE,"OSU"
"SL365924",1.57644076255367e-09,0,0,-1.57644076255367e-09,1.57644076255367e-09,FALSE,"OSU"
