"sample","exo.ra","cw.ra","count","dif","abs.dif","ffpe.status","site.info"
"SL365899",1.57644075957658e-09,0,0,-1.57644075957658e-09,1.57644075957658e-09,FALSE,"OSU"
"SL372342",1.57644070170936e-09,0,0,-1.57644070170936e-09,1.57644070170936e-09,FALSE,"OSU"
"SL362833",1.57644064873936e-09,0,0,-1.57644064873936e-09,1.57644064873936e-09,FALSE,"OSU"
"SL362829",1.57644063432789e-09,0,0,-1.57644063432789e-09,1.57644063432789e-09,FALSE,"OSU"
"SL362852",1.57644059570262e-09,0,0,-1.57644059570262e-09,1.57644059570262e-09,FALSE,"OSU"
"SL365948",1.57644059559361e-09,0,0,-1.57644059559361e-09,1.57644059559361e-09,FALSE,"OSU"
"SL362825",1.57644056342835e-09,0,0,-1.57644056342835e-09,1.57644056342835e-09,FALSE,"OSU"
"SL362832",1.57644044152543e-09,0,0,-1.57644044152543e-09,1.57644044152543e-09,FALSE,"OSU"
"SL362857",1.57644043374807e-09,0,0,-1.57644043374807e-09,1.57644043374807e-09,FALSE,"OSU"
"SL362889",1.57644041996281e-09,0,0,-1.57644041996281e-09,1.57644041996281e-09,FALSE,"OSU"
"SL362861",1.57644041245625e-09,0,0,-1.57644041245625e-09,1.57644041245625e-09,FALSE,"OSU"
"SL362886",1.5764403509153e-09,0,0,-1.5764403509153e-09,1.5764403509153e-09,FALSE,"OSU"
"SL362882",1.57644034860543e-09,0,0,-1.57644034860543e-09,1.57644034860543e-09,FALSE,"OSU"
"SL362831",1.57644031498171e-09,0,0,-1.57644031498171e-09,1.57644031498171e-09,FALSE,"OSU"
"SL362888",1.57644030938625e-09,0,0,-1.57644030938625e-09,1.57644030938625e-09,FALSE,"OSU"
"SL362880",1.57644030862391e-09,0,0,-1.57644030862391e-09,1.57644030862391e-09,FALSE,"OSU"
"SL362883",1.57644029769468e-09,0,0,-1.57644029769468e-09,1.57644029769468e-09,FALSE,"OSU"
"SL372454",1.5764402967739e-09,0,0,-1.5764402967739e-09,1.5764402967739e-09,FALSE,"OSU"
"SL362855",1.57644029199448e-09,0,0,-1.57644029199448e-09,1.57644029199448e-09,FALSE,"OSU"
"SL362887",1.57644026198809e-09,0,0,-1.57644026198809e-09,1.57644026198809e-09,FALSE,"OSU"
"SL365900",1.57644024023283e-09,0,0,-1.57644024023283e-09,1.57644024023283e-09,FALSE,"OSU"
"SL362881",1.57644023604854e-09,0,0,-1.57644023604854e-09,1.57644023604854e-09,FALSE,"OSU"
"SL381543",1.57644020405268e-09,0,0,-1.57644020405268e-09,1.57644020405268e-09,FALSE,"OSU"
"SL411749",1.46842764547745e-09,0,0,-1.46842764547745e-09,1.46842764547745e-09,FALSE,"Site 4"
"SL319197",1.428351474394e-09,0,0,-1.428351474394e-09,1.428351474394e-09,TRUE,"Site 7"
"SL337489",1.42834703902597e-09,0,0,-1.42834703902597e-09,1.42834703902597e-09,TRUE,"Site 7"
"SL399219",1.31124464978344e-09,0,0,-1.31124464978344e-09,1.31124464978344e-09,FALSE,"Site 2"
"SL426715",1.24030832470116e-09,0,0,-1.24030832470116e-09,1.24030832470116e-09,TRUE,"Site 2"
"SL365947",1.57644025974448e-09,1.13286835129477e-07,1,1.11710394869733e-07,1.11710394869733e-07,FALSE,"OSU"
"SL399171",1.31124965351606e-09,1.5417567866335e-07,3,1.52864429009834e-07,1.52864429009834e-07,FALSE,"Site 2"
"SL426756",1.24030830970836e-09,2.32718823764595e-07,4,2.31478515454886e-07,2.31478515454886e-07,TRUE,"Site 2"
"SL356021",1.42835378705438e-09,3.89658312522332e-07,3,3.88229958735278e-07,3.88229958735278e-07,TRUE,"Site 7"
"SL365923",1.57644045894928e-09,4.48511748316735e-07,10,4.46935307857786e-07,4.46935307857786e-07,FALSE,"OSU"
"SL399338",2.41791678599818e-09,5.40544464183755e-07,7,5.38126547397757e-07,5.38126547397757e-07,FALSE,"Site 2"
"SL399164",1.57644024009636e-09,5.66309136831614e-07,2,5.64732696591517e-07,5.64732696591517e-07,FALSE,"OSU"
"SL399214",1.51004602910668e-09,1.1659811154955e-06,17,1.1644710694664e-06,1.1644710694664e-06,FALSE,"Site 7"
"SL399144",1.31124681334183e-09,1.31553006038809e-06,15,1.31421881357475e-06,1.31421881357475e-06,FALSE,"Site 2"
"SL399218",1.31124564199973e-09,1.55576303777159e-06,22,1.55445179212959e-06,1.55445179212959e-06,FALSE,"Site 2"
"SL310813",2.01979093269859e-08,4.15926087161471e-06,6,4.13906296228772e-06,4.13906296228772e-06,FALSE,"Site 7"
"SL426738",1.24030924205355e-09,2.7794519158382e-05,234,2.77932788491399e-05,2.77932788491399e-05,TRUE,"Site 2"
"SL362859",1.57644039872784e-09,3.57329699796846e-05,348,3.57313935392858e-05,3.57313935392858e-05,FALSE,"OSU"
"SL399143",1.31124767834648e-09,7.26225175636341e-05,656,7.26212063159557e-05,7.26212063159557e-05,FALSE,"Site 2"
"SL383153",4.12239934019569e-08,0.000157153713358281,803,0.000157112489364879,0.000157112489364879,TRUE,"Site 8"
"SL310764",1.49115752791889e-09,0.000374178578387091,507,0.000374177087229563,0.000374177087229563,TRUE,"OSU"
"SL362815",1.69678080100318e-08,0.0108943928448572,53839,0.0108943758770492,0.0108943758770492,TRUE,"Site 8"
