"sample","Acinetobacter","Acinetobacter calcoaceticus","Baculoviridae","Campylobacter jejuni","Microbacteriaceae","Micrococcales","Moraxellaceae","Porphyromonadaceae","Uroviricota"
"SL399218",2.83396667765301e-07,2.72060801054689e-07,0,0,8.5019e-09,1.1335867e-08,2.83396667765301e-07,0,3.599138e-07
"SL399219",1.24933547788092e-07,6.94075265489399e-09,0,0,0,0,1.24933547788092e-07,0,2.103048e-06
"SL399338",2.97760463456777e-08,2.97760463456777e-08,0,0,0,0,2.97760463456777e-08,0,0.0003105523
"SL399360",4.46371850215695e-07,4.46371850215695e-07,2.917463e-09,0,0,0,4.46371850215695e-07,0,1.721303e-06
"SL399361",1.00105168161644e-07,6.75127878299456e-08,9.312109e-09,0,6.984081e-09,6.984081e-09,1.02433195161644e-07,0,4.088714e-05
"SL411749",4.22338512507934e-07,3.58185827063691e-07,0,0,0,0,4.22338512507934e-07,0,3.597896e-06
"SL426715",1.04230179578459e-06,1.00275647019927e-06,2.824666e-09,0,7.6265982e-08,9.0389312e-08,1.11291844578459e-06,0,3.2300054666e-05
"SL426738",5.84833778373044e-07,5.84833778373044e-07,0,2.134774e-06,0,0,5.87456351373044e-07,2.7537016e-07,1.382096e-06
"SL426756",3.22557631485125e-06,2.95492683069967e-06,4.039545e-09,0,8.079089e-09,1.89858601e-07,3.33868351485125e-06,4.039545e-09,4.251823e-05
"SL426764",2.75769409196907e-07,2.39602929302231e-07,4.52081e-09,0,0,0,2.87071429196907e-07,0,1.677220405e-06
