"","sample","Debaryomyces hansenii","Delftia lacustris","Enterobacter hormaechei","Fusobacterium nucleatum","Mannheimia sp. USDA-ARS-USMARC-1261","Mollivirus sibericum","Moraxella osloensis","Myroides profundi","Nocardia mangyaensis","Plasmodium sp. gorilla clade G2","Porphyromonas asaccharolytica","Proteus virus Isfahan","Pseudomonas fluorescens","Snyder-Theilen feline sarcoma virus","Theileria annulata"
"46","SL365922",1.5764402219009e-09,1.5764402219009e-09,1.5764402219009e-09,4.26542620175818e-08,2.59902745982399e-07,1.5764402219009e-09,2.62022102704858e-09,1.5764402219009e-09,1.5764402219009e-09,1.5764402219009e-09,1.5764402219009e-09,1.5764402219009e-09,1.5764402219009e-09,1.5764402219009e-09,7.56201575783041e-09
"47","SL365923",2.0078461539473e-08,1.57644045894928e-09,1.57644045894928e-09,1.57644045894928e-09,1.57644045894928e-09,1.57644045894928e-09,1.57644045894928e-09,7.14536676382064e-08,1.57644045894928e-09,1.57644045894928e-09,1.57644045894928e-09,4.72481267819952e-06,1.57644045894928e-09,1.57644045894928e-09,1.57644045894928e-09
"48","SL365924",1.57644076255367e-09,1.57644076255367e-09,1.57644076255367e-09,1.57644076255367e-09,1.57644076255367e-09,4.58964953135893e-08,1.57644076255367e-09,1.57644076255367e-09,1.57644076255367e-09,1.57644076255367e-09,4.58964953135893e-08,2.01238256108036e-06,1.57644076255367e-09,4.58964953135893e-08,1.57644076255367e-09
"49","SL365947",2.87898857841087e-08,1.57644025974448e-09,1.57644025974448e-09,1.57644025974448e-09,1.57644025974448e-09,1.57644025974448e-09,8.24179993487068e-09,3.72093984227437e-08,2.00784590022849e-08,1.57644025974448e-09,1.57644025974448e-09,4.72481208115486e-06,1.57644025974448e-09,1.57644025974448e-09,1.57644025974448e-09
"50","SL365948",2.05821657651256e-07,1.57644059559361e-09,1.57644059559361e-09,1.57644059559361e-09,1.57644059559361e-09,1.57644059559361e-09,1.57644059559361e-09,2.05821657651256e-07,1.57644059559361e-09,1.57644059559361e-09,1.57644059559361e-09,7.99258649100826e-08,1.57644059559361e-09,1.57644059559361e-09,1.57644059559361e-09
"51","SL372342",7.14536786415388e-08,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09,5.12881025877672e-07,1.57644070170936e-09,1.57644070170936e-09,1.57644070170936e-09
"52","SL372373",1.03971211906064e-08,1.62582050767024e-09,2.35043957991426e-09,1.8657697753188e-09,3.08810488371769e-09,2.09981684465315e-09,1.43887605756707e-09,1.49715686842874e-09,1.37739865573618e-09,9.16908692526042e-10,1.69719967841454e-09,1.03522348466992e-07,1.57486577624817e-09,1.66904885009987e-09,1.19744220129562e-09
"53","SL372454",1.5764402967739e-09,1.5764402967739e-09,1.5764402967739e-09,1.5764402967739e-09,1.17144605219147e-07,1.5764402967739e-09,1.5764402967739e-09,1.5764402967739e-09,1.5764402967739e-09,1.5764402967739e-09,1.5764402967739e-09,1.91190807584491e-08,5.52259339144518e-09,1.5764402967739e-09,1.5764402967739e-09
"54","SL381543",2.07527056284574e-09,1.57644020405268e-09,1.57644020405268e-09,1.57644020405268e-09,2.07527056284574e-09,1.75825229836576e-08,1.57644020405268e-09,1.57644020405268e-09,1.57644020405268e-09,1.75825229836576e-08,1.57644020405268e-09,4.72481191423875e-06,3.30708016216421e-09,1.57644020405268e-09,3.30708016216421e-09
"55","SL383153",1.0397213064373e-08,1.62583487417142e-09,2.35046034948435e-09,4.12239934019569e-08,3.08813217163924e-09,2.09983539960497e-09,1.43888877214072e-09,1.49717009799856e-09,1.3774108270671e-09,9.16916794754887e-10,1.69721467565505e-09,4.57981008438037e-06,1.5748796924898e-09,1.66906359858665e-09,1.19745278244817e-09
"56","SL387149",1.0139751792792e-06,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09,8.94026180296295e-08,1.57644099704104e-09,1.57644099704104e-09,1.57644099704104e-09
"57","SL399143",6.54102959884103e-09,1.21419525565054e-09,2.08067241163884e-09,1.31124767834648e-09,3.18871141078485e-09,1.84218411106072e-09,1.91670749358849e-09,1.20331888107468e-08,1.08049567757586e-08,7.4587201265306e-09,1.45389759816009e-09,1.38853771648109e-06,1.42932798470212e-09,1.59798011210781e-09,1.32818745597465e-09
"58","SL399144",9.87793998256901e-09,1.21419445466949e-09,2.08067103905963e-09,1.31124681334183e-09,3.18870930725382e-09,1.84218289580762e-09,1.91670622917376e-09,5.22088900992268e-09,3.32357646804144e-08,1.28954289069403e-09,1.45389663905206e-09,3.26010454944027e-06,1.42932704180219e-09,1.59797905795135e-09,2.00576312604413e-09
"59","SL399164",1.57644024009636e-09,1.57644024009636e-09,1.57644024009636e-09,1.57644024009636e-09,7.99258468862983e-08,1.57644024009636e-09,1.57644024009636e-09,3.38744057754725e-09,1.57644024009636e-09,1.57644024009636e-09,1.57644024009636e-09,8.73193295231188e-09,1.57644024009636e-09,1.57644024009636e-09,1.57644024009636e-09
"60","SL399171",2.04678974891938e-08,1.2141970846273e-09,2.08067554581473e-09,1.31124965351606e-09,3.18871621403133e-09,1.84218688599492e-09,2.31182218566863e-09,2.17832472947532e-09,7.3326281693479e-10,2.67506899127879e-08,1.4538997882073e-09,1.79332419080043e-07,1.42933013773942e-09,1.5979825191906e-09,9.7518692149608e-09
"61","SL399214",4.3544603127484e-09,1.46666530428537e-09,2.27141311776268e-09,1.51004602910668e-09,2.89049973778508e-09,1.8304331589554e-09,6.15996716091763e-09,1.68185636074442e-09,8.82844396461592e-10,6.75561411590977e-10,1.46514812710807e-09,8.3426040899732e-07,2.79688645774596e-08,1.53032113475556e-09,7.23906330962153e-09
"62","SL399218",6.54101944072633e-09,1.21419337002466e-09,2.08066918038775e-09,1.31124564199973e-09,3.18870645876685e-09,1.84218125017816e-09,1.9167045169723e-09,1.80602335002259e-09,1.0804939995833e-08,8.53915404686067e-10,1.45389534028029e-09,6.99638533595961e-07,1.42932576497854e-09,1.59797763047017e-09,1.36256984375156e-08
"63","SL399219",2.40642629558991e-08,1.21419245124758e-09,2.08066760595059e-09,1.31124464978344e-09,3.18870404588067e-09,1.84217985620422e-09,1.9167030666068e-09,2.4156792771609e-08,7.33260018801675e-10,8.76021152588449e-09,1.45389424012133e-09,3.2600991702649e-06,1.42932468341132e-09,1.5979764212845e-09,1.32818438828614e-09
"64","SL399338",1.03900914096184e-08,1.21419452141116e-09,2.08067115342967e-09,2.41791678599818e-09,3.18870948253035e-09,1.84218299706847e-09,3.50040263890299e-08,6.17665924846779e-09,7.33261268989147e-10,8.5391621443079e-10,3.40939378147491e-09,3.26010472864124e-06,1.42932712036924e-09,1.59797914578884e-09,1.32818665280274e-09
"65","SL399360",1.96625901865124e-08,1.21419432980462e-09,2.08067082508837e-09,3.01922159172649e-09,3.18870897933453e-09,1.84218270636191e-09,3.40118660192075e-09,4.26283806802023e-08,7.33261153276504e-10,4.84270158186172e-08,8.29005312671348e-09,1.38853665769589e-06,1.42932689481359e-09,1.59797889361898e-09,3.59371778071386e-08
"66","SL399361",2.09490694942092e-08,1.21419264326652e-09,2.08066793499858e-09,2.71197077121005e-08,3.18870455015951e-09,1.84218014753647e-09,1.91670336972455e-09,9.71878145782116e-09,5.7613980736886e-09,8.53914893573102e-10,1.45389447004801e-09,3.26009968583456e-06,1.42932490945243e-09,1.59797667399711e-09,1.32818459833238e-09
"67","SL411749",3.21236896026522e-09,3.57303659698738e-07,2.33806970107577e-09,1.46842764547745e-09,3.22170693390313e-09,1.49901194232371e-09,3.48973867043636e-08,1.95525303819621e-09,8.51485974796529e-10,3.93311300708725e-08,1.52253373648087e-09,4.40937129963146e-07,2.84387325955585e-09,1.56007586063809e-09,7.41379668768534e-09
"68","SL426715",1.3573994393147e-08,1.23502451211595e-09,2.2271278853281e-09,1.24030832470116e-09,3.34915073328317e-09,1.88049089790266e-09,1.8675387806555e-09,1.56216915593134e-08,7.45703786706205e-10,1.00176949102985e-09,1.50891806274092e-09,1.33532766210389e-06,5.41825208429101e-09,1.61784161726849e-09,1.25800651229197e-09
"69","SL426738",5.77856089054149e-08,1.23502542556035e-09,2.22712953254843e-09,1.24030924205355e-09,3.34915321037001e-09,4.20826743762554e-09,1.86754016191783e-09,1.71775049746143e-09,3.37997604911463e-08,1.001770231955e-09,1.50891917876148e-09,1.33532864973414e-06,1.67071518248922e-08,1.6178428138507e-09,8.10756822263791e-09
"70","SL426756",1.25214363069461e-07,1.23502449718702e-09,2.22712785840666e-09,1.24030830970836e-09,3.34915069279877e-09,1.88049087517136e-09,1.86753875808077e-09,1.00826461954845e-08,7.45703777692167e-10,1.3399359437211e-08,1.50891804450118e-09,6.7282877222192e-07,1.43649959209852e-09,6.56687477032316e-09,1.25800649708524e-09
"71","SL426764",2.19548443880009e-08,1.06194121359885e-09,2.17640256254229e-09,2.85245025273779e-09,3.17027847975582e-09,2.04947778026719e-09,6.13291131168063e-10,6.85215754228126e-09,4.66401269162596e-10,6.75966785282483e-10,1.80466226393763e-09,4.42671994698048e-06,1.57239348091689e-09,1.57136851400438e-09,1.48191462846167e-09
