"Microbe","SPERMATOGENESIS","PANCREAS_BETA_CELLS","PROTEIN_SECRETION","MYC_TARGETS_V1","DNA_REPAIR","UNFOLDED_PROTEIN_RESPONSE","PI3K_AKT_MTOR_SIGNALING","PEROXISOME","MTORC1_SIGNALING","FATTY_ACID_METABOLISM","OXIDATIVE_PHOSPHORYLATION","MITOTIC_SPINDLE","G2M_CHECKPOINT","E2F_TARGETS","REACTIVE_OXYGEN_SPECIES_PATHWAY","CHOLESTEROL_HOMEOSTASIS","ADIPOGENESIS","APOPTOSIS","IL2_STAT5_SIGNALING","XENOBIOTIC_METABOLISM","COAGULATION","INTERFERON_ALPHA_RESPONSE","INTERFERON_GAMMA_RESPONSE","COMPLEMENT","ALLOGRAFT_REJECTION","ANDROGEN_RESPONSE","INFLAMMATORY_RESPONSE","KRAS_SIGNALING_UP","IL6_JAK_STAT3_SIGNALING","HEME_METABOLISM","BILE_ACID_METABOLISM","MYC_TARGETS_V2","GLYCOLYSIS","HEDGEHOG_SIGNALING","UV_RESPONSE_UP","WNT_BETA_CATENIN_SIGNALING","KRAS_SIGNALING_DN","TNFA_SIGNALING_VIA_NFKB","UV_RESPONSE_DN","NOTCH_SIGNALING","MYOGENESIS","P53_PATHWAY","ESTROGEN_RESPONSE_EARLY","APICAL_JUNCTION","HYPOXIA","ANGIOGENESIS","APICAL_SURFACE","ESTROGEN_RESPONSE_LATE","TGF_BETA_SIGNALING","EPITHELIAL_MESENCHYMAL_TRANSITION"
"Uroviricota",0.325637546182546,0.910935736818298,0.314306452551152,0.364416382929239,0.357642482472588,0.719354989532333,0.475004892679722,0.655143674588489,0.0477958486832055,0.0627483343865061,0.135189236987865,0.773417172659245,0.179182923038549,0.151899137729743,0.693940700753928,0.433756910566542,0.675554011993001,0.74486615464719,0.588719821211176,0.638159053278332,0.636966996480668,0.0314007831517391,0.0701185610527315,0.427057800856426,0.168868907374643,0.758361372546884,0.428034458400611,0.675554011993001,0.434906569012888,0.570991895240363,0.526610504480534,0.772566680080971,0.820361668665211,0.26293724582431,0.64992931208837,0.07773185459647,0.111459339900865,0.904115835647212,0.75730440239554,0.125290587866715,0.385051063791406,0.212651625128765,0.180100979174711,0.264620625328175,0.740244576590208,0.609613256527323,0.579538873346478,0.207719458217378,0.237208181904677,0.413039661559872
"Acinetobacter",0.00306004245646196,0.00760577041528743,0.494271300268918,0.576870327305078,0.927681067380248,0.978742699789965,0.590637633650042,0.496653274362362,0.895874369459622,0.969335753348341,0.879645797709808,0.798727984817545,0.199627164197002,0.141771816780494,0.0117222908550705,0.116448056651476,0.0903677962315055,0.0241040552282019,0.0732659671369351,0.15690556257796,0.161314596831918,0.327916604741213,0.232263804803806,0.342184101266925,0.653936171777926,0.622928487470276,0.35493614097588,0.203015506888028,0.215719690601127,0.196720177361095,0.882055192033144,0.303162136459736,0.463857123785838,0.591310629910673,0.204573711519727,0.184364354238098,0.761003783309359,0.0326384403740714,0.438196914049438,0.00213778823485766,0.00119420242157275,0.000135028982497953,0.00468798827865236,0.00309975848681598,0.0067383185493175,0.0657757147846065,0.00150807451601609,0.0200797574920664,0.0157332866160251,0.00827604763445255
"Baculoviridae",0.469616031838338,0.238128868121386,0.807868443328622,0.594350682554293,0.584478750818639,0.430651068343715,0.308907619680457,0.718459305670824,0.419987127905432,0.941843196721707,0.753086591369745,0.559584746229896,0.427194410566964,0.415136535130829,0.968088214075949,0.302026339723905,0.715048150189817,0.712081669636571,0.535497165158385,0.542131146512004,0.996479410595418,0.209960669062804,0.194083592951041,0.228752386090656,0.132261225142994,0.97195819738359,0.297517693720418,0.599468247744025,0.517749395563604,0.66383182437196,0.44094018313228,0.24764533334525,0.393096824461273,0.906328784816644,0.902250362180312,0.0791603595062396,0.841319446010318,0.865091904250742,0.995423243796651,0.00918811669568109,0.50407055165859,0.377352272534697,0.311674062221029,0.518706240628777,0.130372710727902,0.183840961579956,0.510981573737143,0.982163743611847,0.896894001181099,0.415985166349695
"Micrococcales",0.0218221946609281,0.530131037450435,0.0477131846136953,0.00198368937316529,0.0223744906410797,0.022956449360449,0.250593329495454,0.143538961671646,0.0231532711870031,0.319968979603146,0.0460922976733773,0.0162736051689718,0.000146385983744057,6.15067808962255e-05,0.890106624613049,0.895647290250778,0.926982340488993,0.621144864909258,0.57931773248216,0.148389780296536,0.0850010559870347,0.573367550494752,0.740569541715725,0.83065551746116,0.721155415571984,0.838097113863485,0.782458998191239,0.479078485500725,0.862487167419113,0.771494238208291,0.599288359727984,0.0965253280931908,0.247441109213884,0.824756543746116,0.804730793441889,0.0609771140993791,0.00112949777937743,0.83897354100701,0.19787482208954,0.0211149480987927,0.00368137038822813,0.0116509422272961,0.00934012364487202,0.00307944999791765,0.280070868146611,0.138425577224131,0.0781061450426954,0.0398569147107357,0.289010327381579,0.112919831623804
"Acinetobacter calcoaceticus",0.033280696302282,0.0494750998594382,0.908952041818575,0.89378578630921,0.425417268639819,0.527142827519296,0.454696992182879,0.202053184441528,0.442654756019712,0.562866916847942,0.578764007564915,0.805058059406367,0.388258639193456,0.346318577227873,0.012000467100258,0.0319743346773618,0.0205458220641992,0.0378453641938585,0.103284986173629,0.207602154893887,0.168328532055278,0.419435716482529,0.432757357674418,0.575340174551396,0.944015272078689,0.560988223305378,0.510342279941358,0.27535182981084,0.372601662351396,0.167978608582524,0.963913831776158,0.10184134566504,0.151156248385053,0.393201598867055,0.0880942685123718,0.197986044534288,0.767461788700541,0.0710489461846771,0.567765367634987,0.00243652523926707,0.00192876557748023,0.000276151498193933,0.00381279668588919,0.00558197087109003,0.0061046346810687,0.0614473827411746,0.00646086430606552,0.0168768592154127,0.0260501829337949,0.0119903539731663
"Microbacteriaceae",0.333639594856716,0.815234192100373,0.105207485722354,0.0879206671170003,0.146820301062616,0.227309461848467,0.703138923584309,0.4820342387656,0.280538533619698,0.587382085723262,0.22091034214402,0.0522969732627825,0.0136016525153528,0.0132638598481059,0.847806879975876,0.995374425578006,0.652143057595164,0.693683055571209,0.669614410765886,0.534092265214881,0.404098271346048,0.624123927077204,0.693254336718666,0.704647460940971,0.857585580887974,0.427857444633956,0.828319489291223,0.782302428669863,0.904933733269489,0.749747993400541,0.754373494733645,0.629067889026998,0.940384121726503,0.271477308853289,0.630306436332365,0.0407510875996375,0.0169768563894195,0.979418314027047,0.632166163288693,0.0104609478642246,0.0120901264655817,0.107273419871044,0.122482187734665,0.0399809044888459,0.247518628363204,0.149649476429951,0.217044234631976,0.22291731851545,0.720663367774291,0.222135316564235
"Moraxellaceae",0.00285388692481225,0.00737110262770502,0.464283090531994,0.54626197753691,0.957942458237334,0.970110302869301,0.609805209752439,0.526061090438222,0.934631490093495,0.979960307834813,0.833231711414292,0.823492725184747,0.19239262783874,0.134963005257428,0.0119723968038814,0.130092998522073,0.102690365519446,0.0218608832486655,0.0669900661982159,0.165987711249937,0.161314596831918,0.314639913353972,0.218452970635798,0.328818807183751,0.624897407228158,0.611170667682773,0.325702498622842,0.191621957131299,0.197849782080584,0.1834305599027,0.848865691462209,0.312618120263939,0.467099804875109,0.58230218146075,0.197308958639949,0.16921655468591,0.734687699347166,0.0281463258025023,0.423807560020844,0.0017818575410713,0.00110960829438778,0.00012257550651551,0.00464819933205884,0.00270614278740711,0.00593988942800983,0.0618554945211529,0.00140055426834884,0.0201744745122783,0.0138333409640019,0.00749769315901716
"Porphyromonadaceae",0.00205420354166397,0.00623345312581236,0.754703387537852,0.0521999953761441,0.0565883705679076,0.170208043675706,0.024699909643624,0.0166637468940913,0.132732938079438,0.0672654507737938,0.0303857785730339,0.254604681993089,0.588191085490014,0.123595380863108,0.148763338281223,0.435366814197052,0.0471379389104085,0.771559883719882,0.505671795619403,0.506288939291855,0.977017246773878,0.592513271982066,0.900266897954922,0.886975381683388,0.607751869832347,0.431111147204719,0.575968197172751,0.810049873772509,0.810422320109727,0.924639681030109,0.0299242305514167,0.0877466651869412,0.210694338508826,0.279337980051252,0.197977904033477,0.524667468484378,0.762934684056821,0.063161069775854,0.0148498081728643,0.106287920739838,0.729633725674775,0.169141712934252,0.328987083080829,0.205312776173826,0.468474319909654,0.27375566622651,0.269934972656593,0.526240185662984,0.0868753318130309,0.120089646173225
"Campylobacter jejuni",0.322054428441186,0.376870541534284,0.152954294368271,0.287458584698902,0.335133464966526,0.615634909562745,0.202988663226943,0.167984062623502,0.271758280114214,0.10982582073509,0.167374948615069,0.154095637667572,0.893690862013755,0.519619576251573,0.615634909562745,0.445636576590849,0.1201372625404,0.593948139996336,0.792952986084061,0.409862350919363,0.854772200200014,0.649483406789065,0.853252375418572,0.82448301760985,0.90672428464932,0.687620830192113,0.207571520811929,0.669860699362604,0.343039659091752,0.436389947020112,0.165859266238672,0.68833483299043,0.742619611182968,0.625916310995973,0.73530201541653,0.276493409334755,0.211866573857049,0.161965789855421,0.353084865940011,0.151536475142726,0.848696118222096,0.407096574796697,0.410971713433413,0.1175507314237,0.636962055328489,0.233511146589774,0.0899346475498315,0.449716051913783,0.27866381790623,0.328794934627201
