Sample_ID,Debaryomyces hansenii,Delftia lacustris,Enterobacter hormaechei,Fusobacterium nucleatum,Mannheimia sp. USDA-ARS-USMARC-1261,Mollivirus sibericum,Moraxella osloensis,Myroides profundi,Nocardia mangyaensis,Plasmodium sp. gorilla clade G2,Porphyromonas asaccharolytica,Proteus virus Isfahan,Pseudomonas fluorescens,Snyder-Theilen feline sarcoma virus,Theileria annulata
SL362882,4.93851471544671e-8,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,1.57644034860543e-9,2.59902766871778e-7,1.57644034860543e-9,1.57644034860543e-9,1.28198823528384e-8
SL362883,2.87898864771778e-8,1.5764402976946802e-9,1.5764402976946802e-9,1.5764402976946802e-9,1.5764402976946802e-9,1.5764402976946802e-9,1.5764402976946802e-9,1.5764402976946802e-9,1.5764402976946802e-9,2.58651027741371e-8,1.5764402976946802e-9,5.12880894435074e-7,1.5764402976946802e-9,1.5764402976946802e-9,1.5764402976946802e-9
SL362884,1.5764402064659e-9,1.17144598508398e-7,1.5764402064659e-9,1.55371529850927e-8,5.12880864754597e-7,1.5764402064659e-9,5.86678415971203e-8,1.5764402064659e-9,1.5764402064659e-9,3.4272094900158705e-9,1.5764402064659e-9,2.59902743437681e-7,2.32337594754522e-9,1.5764402064659e-9,3.4272094900158705e-9
SL362886,1.5764403509153e-9,1.5764403509153e-9,1.5764403509153e-9,1.5764403509153e-9,1.5764403509153e-9,1.5764403509153e-9,7.14536627414632e-8,1.5764403509153e-9,1.5764403509153e-9,5.38267615618471e-8,1.5764403509153e-9,1.01397476368771e-6,1.5764403509153e-9,1.5764403509153e-9,2.87898874491242e-8
SL362887,1.62993798282011e-7,1.57644026198809e-9,1.57644026198809e-9,1.57644026198809e-9,4.5572014814997e-9,4.5572014814997e-9,7.14536587107528e-8,1.57644026198809e-9,1.57644026198809e-9,4.5572014814997e-9,1.57644026198809e-9,4.72481208787928e-6,1.57644026198809e-9,1.57644026198809e-9,1.61725160678839e-8
SL362888,1.62993803182676e-7,1.5764403093862501e-09,1.5764403093862501e-09,1.5764403093862501e-09,1.5764403093862501e-09,7.785166185041411e-9,1.5764403093862501e-09,1.5764403093862501e-09,1.5764403093862501e-09,1.5764403093862501e-09,1.5764403093862501e-09,4.72481222993818e-6,1.5764403093862501e-09,1.5764403093862501e-09,2.10859791411661e-8
SL362889,1.37697593506178e-8,1.5764404199628102e-9,1.5764404199628102e-9,1.5764404199628102e-9,1.5764404199628102e-9,1.5764404199628102e-9,1.5764404199628102e-9,8.94025853025536e-8,1.5764404199628102e-9,1.37697593506178e-8,1.5764404199628102e-9,2.59902778636246e-7,1.5764404199628102e-9,1.5764404199628102e-9,2.3229592257671e-8
SL365876,1.01397505953826e-6,1.57644081087818e-9,1.57644081087818e-9,1.57644081087818e-9,1.57644081087818e-9,1.57644081087818e-9,1.57644081087818e-9,1.38180523330558e-7,1.57644081087818e-9,1.57644081087818e-9,1.57644081087818e-9,2.26895654521318e-5,1.57644081087818e-9,1.57644081087818e-9,1.57644081087818e-9
SL365899,1.02337851705355e-7,1.5764407595765802e-9,1.5764407595765802e-9,1.5764407595765802e-9,1.5764407595765802e-9,1.5764407595765802e-9,3.98389316421741e-8,1.5764407595765802e-9,1.5764407595765802e-9,1.5764407595765802e-9,1.5764407595765802e-9,1.02337851705355e-7,1.5764407595765802e-9,1.5764407595765802e-9,1.5764407595765802e-9
SL365900,1.57644024023283e-9,1.57644024023283e-9,1.57644024023283e-9,1.57644024023283e-9,2.59902749004728e-7,3.2604588157247e-8,6.5680704405372306e-9,1.57644024023283e-9,1.57644024023283e-9,1.15745829564092e-8,1.57644024023283e-9,8.94025751097642e-8,3.3874405778405e-9,1.57644024023283e-9,6.5680704405372306e-9
SL365922,1.5764402219009e-9,1.5764402219009e-9,1.5764402219009e-9,4.26542620175818e-8,2.59902745982399e-7,1.5764402219009e-9,2.6202210270485804e-9,1.5764402219009e-9,1.5764402219009e-9,1.5764402219009e-9,1.5764402219009e-9,1.5764402219009e-9,1.5764402219009e-9,1.5764402219009e-9,7.56201575783041e-9
SL365923,2.0078461539473e-8,1.5764404589492802e-9,1.5764404589492802e-9,1.5764404589492802e-9,1.5764404589492802e-9,1.5764404589492802e-9,1.5764404589492802e-9,7.14536676382064e-8,1.5764404589492802e-9,1.5764404589492802e-9,1.5764404589492802e-9,4.72481267819952e-6,1.5764404589492802e-9,1.5764404589492802e-9,1.5764404589492802e-9
SL365924,1.5764407625536702e-9,1.5764407625536702e-9,1.5764407625536702e-9,1.5764407625536702e-9,1.5764407625536702e-9,4.58964953135893e-8,1.5764407625536702e-9,1.5764407625536702e-9,1.5764407625536702e-9,1.5764407625536702e-9,4.58964953135893e-8,2.01238256108036e-6,1.5764407625536702e-9,4.58964953135893e-8,1.5764407625536702e-9
SL365947,2.87898857841087e-8,1.57644025974448e-9,1.57644025974448e-9,1.57644025974448e-9,1.57644025974448e-9,1.57644025974448e-9,8.241799934870682e-9,3.72093984227437e-8,2.00784590022849e-8,1.57644025974448e-9,1.57644025974448e-9,4.72481208115486e-6,1.57644025974448e-9,1.57644025974448e-9,1.57644025974448e-9
SL365948,2.05821657651256e-7,1.57644059559361e-9,1.57644059559361e-9,1.57644059559361e-9,1.57644059559361e-9,1.57644059559361e-9,1.57644059559361e-9,2.05821657651256e-7,1.57644059559361e-9,1.57644059559361e-9,1.57644059559361e-9,7.99258649100826e-8,1.57644059559361e-9,1.57644059559361e-9,1.57644059559361e-9
SL372342,7.14536786415388e-8,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9,5.12881025877672e-7,1.57644070170936e-9,1.57644070170936e-9,1.57644070170936e-9
SL372373,1.03971211906064e-8,1.62582050767024e-9,2.35043957991426e-9,1.8657697753188e-9,3.0881048837176904e-9,2.09981684465315e-9,1.43887605756707e-9,1.4971568684287402e-9,1.3773986557361801e-9,9.16908692526042e-10,1.6971996784145401e-9,1.03522348466992e-7,1.5748657762481701e-9,1.66904885009987e-9,1.19744220129562e-9
SL372454,1.5764402967739e-9,1.5764402967739e-9,1.5764402967739e-9,1.5764402967739e-9,1.17144605219147e-7,1.5764402967739e-9,1.5764402967739e-9,1.5764402967739e-9,1.5764402967739e-9,1.5764402967739e-9,1.5764402967739e-9,1.91190807584491e-8,5.52259339144518e-9,1.5764402967739e-9,1.5764402967739e-9
SL381543,2.07527056284574e-9,1.57644020405268e-9,1.57644020405268e-9,1.57644020405268e-9,2.07527056284574e-9,1.75825229836576e-8,1.57644020405268e-9,1.57644020405268e-9,1.57644020405268e-9,1.75825229836576e-8,1.57644020405268e-9,4.72481191423875e-6,3.30708016216421e-9,1.57644020405268e-9,3.30708016216421e-9
SL383153,1.0397213064373e-8,1.62583487417142e-9,2.3504603494843504e-9,4.12239934019569e-8,3.08813217163924e-9,2.0998353996049702e-9,1.4388887721407201e-9,1.4971700979985601e-9,1.3774108270671e-9,9.16916794754887e-10,1.6972146756550501e-9,4.57981008438037e-6,1.5748796924898e-9,1.6690635985866502e-9,1.19745278244817e-9
SL387149,1.0139751792792e-6,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9,8.94026180296295e-8,1.5764409970410402e-9,1.5764409970410402e-9,1.5764409970410402e-9
SL399143,6.541029598841031e-9,1.2141952556505402e-9,2.0806724116388402e-9,1.31124767834648e-9,3.18871141078485e-9,1.8421841110607202e-9,1.91670749358849e-9,1.20331888107468e-8,1.08049567757586e-8,7.4587201265306e-9,1.4538975981600901e-9,1.38853771648109e-6,1.4293279847021201e-9,1.5979801121078102e-9,1.32818745597465e-9
SL399144,9.877939982569011e-9,1.21419445466949e-9,2.08067103905963e-9,1.3112468133418302e-9,3.18870930725382e-9,1.8421828958076202e-9,1.9167062291737604e-9,5.22088900992268e-9,3.32357646804144e-8,1.28954289069403e-9,1.4538966390520602e-9,3.26010454944027e-6,1.42932704180219e-9,1.5979790579513502e-9,2.0057631260441303e-9
SL399164,1.5764402400963602e-9,1.5764402400963602e-9,1.5764402400963602e-9,1.5764402400963602e-9,7.99258468862983e-8,1.5764402400963602e-9,1.5764402400963602e-9,3.3874405775472504e-9,1.5764402400963602e-9,1.5764402400963602e-9,1.5764402400963602e-9,8.731932952311881e-9,1.5764402400963602e-9,1.5764402400963602e-9,1.5764402400963602e-9
SL399171,2.04678974891938e-8,1.2141970846273e-9,2.08067554581473e-9,1.3112496535160601e-9,3.1887162140313305e-9,1.8421868859949201e-9,2.31182218566863e-9,2.1783247294753203e-9,7.332628169347901e-10,2.67506899127879e-8,1.4538997882073e-9,1.79332419080043e-7,1.42933013773942e-9,1.5979825191906e-9,9.7518692149608e-9
SL399214,4.3544603127484e-9,1.46666530428537e-9,2.2714131177626803e-9,1.5100460291066802e-9,2.8904997377850804e-9,1.8304331589554e-9,6.159967160917631e-9,1.68185636074442e-9,8.82844396461592e-10,6.75561411590977e-10,1.46514812710807e-9,8.3426040899732e-7,2.79688645774596e-8,1.5303211347555602e-9,7.239063309621531e-9
SL399218,6.54101944072633e-9,1.2141933700246602e-9,2.08066918038775e-9,1.31124564199973e-9,3.18870645876685e-9,1.8421812501781602e-9,1.9167045169723e-9,1.80602335002259e-9,1.0804939995833e-8,8.539154046860671e-10,1.4538953402802902e-9,6.99638533595961e-7,1.4293257649785402e-9,1.5979776304701702e-9,1.36256984375156e-8
SL399219,2.40642629558991e-8,1.2141924512475801e-9,2.08066760595059e-9,1.3112446497834401e-9,3.1887040458806703e-9,1.84217985620422e-9,1.9167030666068e-9,2.4156792771609e-8,7.33260018801675e-10,8.760211525884491e-9,1.4538942401213301e-9,3.2600991702649e-6,1.42932468341132e-9,1.5979764212845e-9,1.32818438828614e-9
SL399338,1.03900914096184e-8,1.2141945214111602e-9,2.0806711534296703e-9,2.4179167859981803e-9,3.1887094825303505e-9,1.8421829970684701e-9,3.50040263890299e-8,6.1766592484677904e-9,7.33261268989147e-10,8.539162144307901e-10,3.4093937814749104e-9,3.26010472864124e-6,1.42932712036924e-9,1.59797914578884e-9,1.3281866528027401e-9
SL399360,1.96625901865124e-8,1.2141943298046201e-9,2.08067082508837e-9,3.0192215917264902e-9,3.18870897933453e-9,1.8421827063619102e-9,3.4011866019207503e-9,4.26283806802023e-8,7.33261153276504e-10,4.84270158186172e-8,8.29005312671348e-9,1.38853665769589e-6,1.42932689481359e-9,1.5979788936189802e-9,3.59371778071386e-8
SL399361,2.09490694942092e-8,1.21419264326652e-9,2.08066793499858e-9,2.71197077121005e-8,3.1887045501595104e-9,1.8421801475364702e-9,1.9167033697245502e-9,9.718781457821161e-9,5.7613980736886e-9,8.539148935731021e-10,1.45389447004801e-9,3.26009968583456e-6,1.4293249094524301e-09,1.5979766739971102e-9,1.3281845983323802e-9
SL411749,3.2123689602652202e-9,3.57303659698738e-7,2.33806970107577e-9,1.4684276454774501e-9,3.22170693390313e-9,1.4990119423237101e-9,3.48973867043636e-8,1.95525303819621e-9,8.514859747965291e-10,3.93311300708725e-8,1.5225337364808701e-9,4.40937129963146e-7,2.8438732595558504e-9,1.56007586063809e-9,7.41379668768534e-9
SL426715,1.3573994393147e-8,1.2350245121159501e-9,2.2271278853281e-9,1.24030832470116e-9,3.3491507332831703e-9,1.8804908979026603e-9,1.8675387806555e-9,1.56216915593134e-8,7.45703786706205e-10,1.0017694910298501e-9,1.50891806274092e-9,1.33532766210389e-6,5.418252084291011e-9,1.6178416172684902e-9,1.25800651229197e-9
SL426738,5.77856089054149e-8,1.2350254255603502e-9,2.2271295325484303e-9,1.24030924205355e-9,3.34915321037001e-9,4.2082674376255406e-9,1.86754016191783e-9,1.7177504974614302e-9,3.37997604911463e-8,1.001770231955e-9,1.5089191787614801e-9,1.33532864973414e-6,1.67071518248922e-8,1.6178428138507e-9,8.10756822263791e-9
SL426756,1.25214363069461e-7,1.23502449718702e-9,2.2271278584066602e-9,1.24030830970836e-9,3.3491506927987703e-9,1.8804908751713602e-9,1.86753875808077e-9,1.00826461954845e-8,7.45703777692167e-10,1.3399359437211e-8,1.5089180445011802e-9,6.7282877222192e-7,1.4364995920985202e-9,6.566874770323161e-9,1.2580064970852401e-9
SL426764,2.19548443880009e-8,1.06194121359885e-9,2.1764025625422903e-9,2.85245025273779e-9,3.17027847975582e-9,2.0494777802671904e-9,6.13291131168063e-10,6.8521575422812606e-9,4.66401269162596e-10,6.75966785282483e-10,1.8046622639376301e-9,4.42671994698048e-6,1.5723934809168902e-9,1.5713685140043802e-9,1.4819146284616701e-9
